Hours_Studied,Sleep_Hours,Attendance_Percentage,Previous_Score,Exam_Score
0.68,6.4,82.55,44.16,47.94
4.88,7.14,77.27,92.33,87.49
5.83,8.37,53.11,56.35,65.05
4.07,8.92,75.63,45.06,69.71
12.43,7.84,90.32,72.95,98.8
5.35,6.09,72.96,74.3,83.51
4.21,6.11,52.6,75.67,78.32
8.14,7.69,89.31,54.71,87.2
2.11,5.19,60.07,40.83,51.36
12.03,4.55,62.93,93.08,96.01
1.12,5.77,58.24,53.8,49.86
14.8,5.44,66.51,77.18,108.32
11.58,5.48,87.84,78.86,105.2
2.98,5.17,75.97,73.55,73.02
0.08,4.21,60.24,57.21,49.84
12.23,4.09,93.89,54.91,80.98
10.6,8.94,93.98,72.87,96.5
10.94,6.14,93.53,87.64,116.15
11.57,5.92,61.94,92.07,94.24
1.11,7.4,72.56,45.82,57.28
5.38,5.09,99.25,48.52,78.63
1.74,8.75,88.6,91.96,81.14
12.95,7.93,51.36,80.51,98.48
9.35,4.45,53.26,88.56,93.66
4.96,6.09,73.2,51.14,67.3
0.95,8.4,95.46,72.32,91.6
4.66,8.72,76.94,78.56,76.13
4.88,6.34,74.89,77.41,86.27
10.94,7.07,55.27,62.45,82.78
9.56,4.84,82.84,40.85,78.84
13.31,8.96,91.11,72.06,109.6
7.08,5.16,69.02,53.92,67.89
1.79,8.71,88.78,64.76,75.09
10.7,7.25,98.22,92.67,101.96
11.41,7.04,60.19,61.95,89.02
8.42,6.56,76.17,86.19,96.36
11.56,5.15,64.36,50.37,82.77
7.41,4.88,89.64,76.99,95.06
7.84,5.1,78.88,93.74,98.09
6.41,4.93,81.73,45.6,70.0
0.38,7.9,89.9,40.46,53.22
1.62,5.75,69.8,63.85,60.25
0.47,4.29,95.75,45.09,63.53
9.55,8.85,76.65,81.16,105.25
4.72,8.42,57.9,90.3,83.23
7.63,8.64,84.79,63.87,87.05
13.61,8.97,89.66,54.23,94.28
3.74,4.87,65.84,63.89,72.75
6.16,5.98,92.86,79.79,93.66
11.33,7.79,95.31,40.5,96.22
3.43,7.48,63.85,72.42,68.52
1.15,4.77,99.18,73.73,73.33
4.35,8.08,57.04,75.07,76.38
2.42,5.12,60.1,53.31,60.11
13.95,5.12,59.21,79.27,97.34
12.12,6.68,94.7,45.03,84.88
9.5,6.96,82.71,50.96,86.8
13.07,6.9,57.61,88.26,105.97
12.06,4.46,72.02,80.63,92.84
2.8,8.39,80.76,40.76,68.45
13.39,5.33,54.17,53.66,88.8
8.09,4.65,94.12,51.79,80.61
12.11,8.44,90.18,54.89,95.3
13.44,8.78,75.26,53.62,96.29
4.77,8.31,98.36,43.44,68.82
1.65,8.05,70.89,65.24,67.82
3.42,7.28,99.21,80.3,76.44
6.41,6.75,83.4,73.37,90.21
12.27,4.43,81.73,77.01,91.21
12.91,6.04,58.3,44.46,86.76
0.1,5.86,94.1,92.33,80.03
7.66,5.3,71.37,86.12,88.92
6.26,7.62,58.11,84.28,81.23
3.33,6.48,50.63,85.26,72.48
1.8,4.41,77.99,91.3,85.93
5.06,5.1,76.37,69.93,64.21
14.14,7.42,85.97,51.02,101.94
4.85,4.38,94.51,73.92,84.38
7.78,8.26,53.97,80.86,79.95
10.55,6.48,86.57,80.59,95.04
5.45,6.4,59.37,68.68,81.84
14.58,6.96,92.91,43.77,89.83
14.44,8.12,90.95,60.41,97.57
3.78,5.74,77.04,90.64,90.46
7.46,7.39,85.51,72.14,90.93
4.51,6.83,65.72,69.61,69.3
4.27,5.34,73.56,54.79,67.63
0.55,8.39,91.08,60.26,63.77
9.14,7.99,72.96,89.24,104.45
7.54,7.29,67.89,76.66,91.6
0.77,8.25,74.71,83.31,78.55
4.18,8.34,91.41,64.99,82.18
13.62,7.54,66.76,74.66,109.26
3.59,8.19,58.69,53.66,63.24
2.17,7.49,85.6,78.8,73.58
7.34,7.4,91.3,63.52,88.63
14.78,7.09,55.03,64.34,104.57
3.63,7.76,61.99,75.71,69.77
10.08,4.79,57.1,91.5,92.02
11.42,8.4,67.4,43.52,82.69
3.56,8.36,72.52,85.36,83.1
10.92,4.15,87.44,56.08,81.64
5.52,8.13,82.56,64.42,86.14
9.48,4.64,81.05,41.21,85.79
9.5,5.68,67.62,56.56,80.11
8.04,7.72,92.07,67.64,86.28
1.35,4.8,73.56,43.09,45.0
12.53,8.09,98.96,67.01,105.52
4.81,8.16,81.71,90.99,97.34
2.8,6.54,56.31,45.8,57.02
0.61,4.03,83.81,82.04,72.51
8.86,5.44,66.26,62.53,76.87
10.16,7.08,84.32,76.03,91.75
0.25,8.91,53.48,54.31,58.69
7.68,7.16,58.74,48.77,74.37
3.4,5.3,92.79,48.83,59.38
9.68,7.17,61.36,43.88,81.1
2.62,6.7,91.85,50.21,70.12
10.36,7.9,63.96,76.53,99.83
5.8,4.53,82.14,88.49,82.11
14.05,7.81,84.71,84.78,105.47
2.06,6.71,75.63,77.68,73.99
5.12,8.81,65.27,46.07,68.5
1.7,5.71,60.63,55.91,66.23
13.87,7.16,51.66,57.04,90.82
13.16,8.66,65.2,53.75,88.51
3.87,4.51,82.66,68.33,68.92
9.9,8.69,96.92,69.46,105.13
12.26,7.44,93.56,59.63,92.64
8.33,4.34,88.3,59.46,90.4
7.94,5.5,89.42,85.57,94.64
3.63,7.54,83.25,83.41,92.76
1.4,4.34,63.01,56.93,59.47
13.46,6.91,95.36,90.26,115.0
13.51,5.73,83.54,92.4,109.32
9.5,7.1,78.02,57.97,82.96
5.09,4.23,55.55,59.49,66.35
5.24,8.36,72.35,67.81,79.13
10.89,8.87,73.02,91.76,102.69
13.46,8.84,93.23,88.2,115.5
13.31,7.75,77.33,45.64,88.99
11.7,4.65,69.02,61.6,75.69
9.63,7.79,98.84,70.44,100.59
1.26,4.12,55.54,67.67,53.69
2.42,4.11,71.13,50.66,51.88
13.48,5.62,52.1,87.23,91.25
9.1,6.44,87.0,77.23,86.22
0.14,7.85,95.9,86.08,74.8
1.52,7.42,64.0,87.23,71.97
9.95,6.23,92.92,81.16,110.57
0.08,5.37,64.61,64.16,55.48
2.41,8.99,95.54,73.58,83.15
8.23,6.13,87.7,48.82,80.65
10.38,6.26,90.25,77.05,99.72
9.78,4.82,50.9,49.86,70.05
3.36,7.97,98.14,78.17,80.51
10.68,7.47,86.33,52.63,95.13
3.56,5.1,65.24,46.47,66.86
4.88,4.41,91.47,49.09,61.06
11.2,7.4,64.08,40.11,71.04
9.74,7.27,93.64,79.53,99.53
12.74,5.37,55.63,80.28,90.3
9.86,8.75,85.18,68.32,97.39
8.52,4.76,77.03,48.87,70.91
1.41,6.16,54.83,44.6,60.49
5.52,8.72,62.09,41.05,69.37
3.98,6.1,50.62,49.12,58.08
3.66,7.19,73.44,89.0,89.44
14.6,5.99,65.06,53.28,95.38
5.9,5.37,79.92,59.48,72.09
13.38,8.92,64.86,45.79,82.43
9.47,6.05,65.0,52.23,76.94
11.92,8.47,87.16,68.56,104.7
7.54,5.15,52.41,73.43,78.16
8.65,5.07,95.14,53.49,75.11
7.39,4.16,92.61,43.18,68.83
2.93,7.26,83.39,61.51,71.44
10.84,5.84,79.66,52.88,84.07
4.21,8.32,94.62,52.08,84.8
0.36,6.37,59.27,92.79,65.79
9.68,8.84,53.95,73.9,90.47
2.66,4.93,61.98,70.63,73.92
14.11,8.34,89.73,62.87,114.99
14.31,7.88,51.73,63.59,90.52
13.72,7.85,79.14,69.75,104.79
5.55,8.22,99.77,78.3,95.67
0.23,7.81,92.78,78.62,78.07
13.92,7.13,76.07,49.44,90.4
6.42,4.66,53.18,67.51,73.53
14.5,4.16,91.57,62.66,87.38
14.45,8.6,79.95,87.88,117.78
12.8,7.08,55.75,74.73,95.22
4.42,7.98,54.69,69.29,70.57
5.78,6.41,95.48,46.35,84.2
12.77,4.59,83.46,73.31,95.75
4.75,4.63,91.46,46.45,66.08
2.54,7.43,93.95,58.55,82.68
8.35,6.15,78.59,47.86,71.6
14.04,5.0,75.87,78.06,100.14
10.44,6.46,71.52,51.34,80.24
8.55,4.32,65.85,61.55,81.29
1.46,6.91,71.73,89.26,79.13
9.23,5.34,88.69,51.24,75.25
14.85,7.99,80.1,67.93,102.05
2.1,5.55,94.63,63.06,68.79
7.77,6.28,72.17,41.0,68.73
13.16,4.06,80.35,83.6,105.81
11.11,4.36,81.57,43.8,81.47
10.46,5.96,79.58,66.08,81.34
10.54,6.4,85.13,70.84,100.31
5.39,7.0,61.87,74.56,78.98
4.4,5.46,75.62,77.87,86.1
12.14,7.47,55.21,53.93,85.06
12.15,8.3,69.23,40.55,86.89
13.01,7.9,74.38,79.79,106.55
13.7,4.2,82.61,69.46,105.53
7.67,6.4,97.53,85.99,101.72
7.52,4.52,80.03,85.18,90.33
11.97,5.21,87.18,86.38,116.88
9.75,8.93,75.31,66.68,95.47
10.53,4.71,81.71,58.35,88.53
11.94,6.49,53.55,83.54,89.09
13.35,7.09,62.72,64.82,86.67
5.07,7.51,68.09,50.09,68.62
5.63,6.8,73.62,87.02,88.56
1.41,4.05,52.28,88.54,65.27
8.67,5.63,57.0,65.65,79.06
0.54,6.59,63.84,44.16,58.43
6.98,4.44,98.58,61.33,86.49
8.14,5.75,66.57,84.19,83.61
4.3,4.17,74.1,89.6,82.23
8.86,4.39,59.8,51.19,66.93
0.46,5.98,80.54,43.68,52.39
0.56,4.66,64.03,88.25,68.26
12.34,6.84,60.35,61.42,85.48
5.4,7.45,75.83,69.8,73.81
1.91,8.0,50.28,93.24,75.44
7.83,5.0,50.38,43.66,59.72
11.55,4.84,60.95,75.66,76.15
3.24,4.52,51.84,44.08,61.38
9.34,7.18,55.4,60.65,84.35
1.28,7.53,66.94,84.21,72.54
0.78,4.16,90.13,63.84,66.0
7.97,8.68,78.6,94.85,95.49
8.11,4.26,75.63,70.75,91.93
9.56,6.71,64.67,57.66,89.67
10.89,7.55,96.59,52.11,92.1
14.64,8.35,69.85,59.28,102.33
7.74,7.57,54.35,60.49,75.86
4.84,8.01,80.85,43.78,61.17
11.93,5.7,55.69,60.33,81.48
4.06,8.07,67.26,65.53,73.44
6.58,4.4,75.37,79.75,81.94
1.18,8.47,93.71,76.12,78.19
0.38,6.74,74.68,78.98,70.48
14.44,8.09,85.11,40.46,91.17
12.54,6.26,99.64,51.97,95.0
10.44,7.22,56.57,76.39,84.63
6.13,6.63,63.74,66.62,72.13
2.6,7.66,69.73,40.29,50.33
2.35,4.41,71.09,84.25,79.51
3.75,4.3,70.55,82.5,66.42
8.24,5.24,95.38,70.16,96.35
10.72,4.8,85.7,43.66,87.03
9.9,8.36,80.4,82.16,98.47
4.2,5.1,65.47,72.1,59.3
14.32,8.88,91.19,83.01,113.51
11.07,5.68,97.75,81.35,104.17
8.32,4.91,91.06,84.17,91.04
9.18,7.95,50.08,68.49,79.18
6.29,7.29,81.82,47.72,80.53
3.72,6.49,52.56,76.91,74.64
5.34,6.78,62.88,74.13,72.79
11.37,7.6,52.98,80.82,85.86
0.22,5.14,80.19,49.34,53.81
1.74,8.98,84.33,50.72,64.72
0.69,8.87,55.72,88.97,76.05
0.61,7.25,69.19,81.25,68.93
12.83,5.0,72.81,89.95,107.45
10.55,7.4,68.45,81.73,106.33
7.11,4.36,56.05,72.84,80.32
1.47,4.15,70.95,75.98,67.69
7.37,5.29,87.56,88.9,94.58
7.1,6.31,53.55,71.83,75.52
2.6,8.34,54.01,74.78,76.0
6.51,7.64,67.74,48.61,66.93
5.98,7.71,97.09,66.07,86.59
9.24,6.13,83.43,79.4,95.44
9.53,5.73,83.93,54.9,80.82
0.68,5.86,68.1,51.12,47.86
5.62,8.94,79.68,57.26,78.93
9.39,4.2,50.51,53.28,70.0
7.55,8.34,81.8,51.82,81.83
12.85,6.89,95.66,63.37,98.11
9.88,6.19,80.63,89.93,107.39
2.44,7.63,93.68,67.89,72.92
1.06,6.43,86.2,50.34,69.96
9.64,8.37,56.03,44.23,64.33
0.4,8.5,95.12,78.29,81.05
8.79,6.11,53.32,61.05,78.21
14.1,5.38,76.7,85.2,103.34
8.63,6.96,57.11,76.27,87.32
5.82,8.56,50.59,83.79,88.29
9.65,5.05,71.1,54.96,67.91
6.87,7.11,64.75,78.08,86.69
8.18,7.16,74.3,54.52,66.13
14.12,7.67,78.86,91.65,109.16
5.79,4.66,52.19,75.0,81.37
14.42,7.58,56.15,57.85,88.01
13.58,8.55,77.93,54.82,89.13
2.94,4.9,67.16,50.5,57.64
1.04,5.19,86.46,78.21,84.21
1.51,8.86,82.61,52.03,56.05
0.27,4.9,92.28,72.74,65.35
1.42,8.27,84.62,54.55,73.62
10.25,6.46,71.5,76.41,102.32
1.07,5.24,83.65,84.82,75.95
4.78,8.35,63.77,82.79,76.3
12.67,6.23,65.32,81.85,110.15
0.35,6.57,89.45,50.32,68.73
12.22,5.8,72.32,44.86,85.03
4.23,6.96,89.92,78.44,81.06
1.77,4.82,91.12,60.26,67.43
10.45,5.96,92.88,63.78,92.23
9.43,8.85,95.83,41.71,85.45
13.16,5.29,71.55,54.28,95.11
11.03,7.28,65.94,41.85,81.42
12.05,5.63,79.11,88.36,99.41
4.23,7.87,68.56,53.39,74.16
2.66,4.65,80.05,70.65,73.14
11.26,8.85,85.28,42.14,88.86
12.1,6.27,84.42,76.68,108.77
14.86,5.18,68.73,57.77,87.31
6.19,4.37,58.34,89.39,82.74
5.58,4.85,71.53,88.85,83.0
11.65,6.6,57.13,57.89,75.29
5.11,5.69,94.5,89.55,94.46
13.96,8.14,67.29,94.79,124.81
12.88,6.15,57.72,85.4,90.4
6.43,5.24,51.27,86.47,80.82
11.26,7.09,82.29,53.7,91.4
11.32,7.53,81.85,71.72,98.37
1.55,4.84,67.03,43.7,51.08
13.54,4.84,53.59,45.22,71.85
7.58,4.18,70.48,94.94,93.74
12.4,7.68,65.56,57.97,85.09
4.8,7.32,83.86,81.15,75.57
13.43,6.37,80.29,84.37,113.46
5.84,8.22,68.23,87.19,93.32
0.16,8.03,60.89,94.87,76.0
13.58,6.93,99.4,53.28,99.87
1.37,8.34,72.7,42.22,61.72
4.79,5.03,84.41,62.62,75.77
14.25,4.56,57.03,47.15,86.3
14.26,5.35,74.28,41.23,83.48
8.6,4.29,51.38,59.82,78.53
9.48,6.66,75.27,83.11,97.43
6.73,8.68,98.2,71.14,93.24
4.4,4.2,69.21,57.2,59.05
4.93,4.61,51.95,75.99,72.87
10.09,6.26,51.55,52.76,70.42
11.29,8.67,69.4,40.79,76.65
11.87,5.58,58.0,82.04,90.71
11.84,6.54,51.17,74.31,84.62
1.37,4.21,87.81,81.93,86.41
7.42,4.74,72.93,42.14,73.84
0.86,8.93,64.46,86.04,84.83
8.24,8.83,95.0,74.07,90.62
6.62,4.02,55.81,70.99,73.97
13.32,8.76,97.8,74.35,103.86
5.26,7.2,65.7,87.54,81.79
1.76,8.34,94.42,72.28,74.28
2.14,6.27,80.15,71.95,79.09
11.42,6.58,91.34,94.49,109.11
9.27,6.44,99.2,81.62,106.81
1.52,7.33,64.42,64.33,67.11
1.26,4.7,98.06,78.91,89.18
10.51,4.15,69.47,61.41,75.4
1.09,5.54,69.28,52.59,62.75
12.33,7.52,67.02,72.83,102.1
10.59,5.01,77.07,91.05,96.27
1.22,7.37,57.71,91.1,79.79
1.27,8.85,77.69,58.8,68.18
14.8,4.47,77.09,69.02,98.86
5.61,7.36,88.1,51.64,70.99
5.56,6.22,91.68,94.76,92.65
12.19,8.34,72.02,93.96,119.32
14.21,4.89,65.12,75.72,98.79
14.79,7.46,62.97,84.24,110.85
11.3,8.19,59.73,79.33,91.71
5.64,8.72,52.88,72.62,72.84
1.25,7.42,67.12,42.93,59.04
11.66,6.49,63.51,65.01,81.75
8.38,7.09,98.32,77.11,95.43
6.36,8.34,77.89,77.26,88.08
13.6,6.85,67.36,60.52,93.24
1.67,4.15,79.02,91.79,77.86
7.39,8.65,56.96,49.2,72.52
0.17,7.45,72.2,67.52,68.25
7.03,7.38,81.31,78.0,93.5
0.84,5.08,74.44,78.34,64.77
1.78,7.29,70.09,75.68,70.64
1.76,5.97,99.69,55.14,75.01
9.74,7.26,94.02,48.59,90.04
11.19,4.53,81.17,74.98,88.39
8.75,7.29,78.47,72.96,92.4
14.43,9.0,81.03,49.86,86.22
5.62,4.24,60.07,78.78,76.78
4.29,8.89,69.76,65.03,84.32
13.03,6.03,51.97,76.73,89.03
3.35,8.35,73.78,86.06,79.39
14.45,7.91,77.15,49.34,97.25
0.18,6.84,61.39,41.05,39.89
14.55,7.69,98.2,82.85,113.32
0.65,8.39,95.47,73.53,80.08
13.37,6.02,86.11,78.48,102.55
7.92,5.64,76.67,86.1,91.44
14.89,7.34,93.5,84.15,119.88
1.11,8.04,56.53,92.85,77.91
8.31,7.81,89.53,69.48,93.08
14.54,7.99,56.24,66.87,94.55
7.85,6.18,89.71,62.1,86.85
9.44,8.09,63.79,48.45,76.05
10.44,4.6,93.85,71.49,97.81
6.82,6.72,97.2,55.24,79.41
9.41,4.03,57.44,90.67,90.02
8.76,5.62,73.13,72.08,81.67
13.52,5.83,99.05,72.61,106.64
0.68,5.98,74.17,59.52,56.83
4.21,7.48,93.18,42.86,63.31
14.26,5.94,79.44,41.75,88.78
13.35,6.24,68.77,63.28,94.2
6.83,5.19,64.29,44.65,68.83
9.3,5.87,60.16,73.38,82.88
4.16,5.14,88.09,88.45,89.26
2.82,4.37,69.33,88.56,80.13
6.96,7.02,75.56,76.25,88.84
5.3,7.34,74.62,51.62,66.13
8.75,7.1,78.86,87.46,98.53
1.17,6.32,93.28,88.74,84.68
14.62,5.9,99.04,50.82,98.79
14.79,8.32,70.38,80.56,97.92
10.47,6.6,91.38,55.76,90.19
8.04,6.4,88.23,84.15,107.39
4.64,4.13,78.68,94.85,85.78
12.21,5.71,97.8,41.65,83.9
10.27,5.9,60.02,89.36,97.31
2.44,5.99,55.46,74.24,68.61
13.66,6.9,92.7,93.54,122.97
12.34,6.67,71.96,65.58,86.94
14.25,7.04,92.35,86.61,118.74
10.89,7.82,94.65,43.43,89.67
9.2,8.06,53.12,58.44,77.12
6.27,7.59,94.17,43.69,76.57
13.99,8.78,72.42,93.64,119.2
12.99,4.09,75.52,84.93,106.87
0.68,4.98,81.33,86.89,69.8
0.4,4.04,96.32,91.59,84.64
5.65,7.24,50.96,44.68,60.12
12.16,8.49,73.84,61.21,93.71
14.81,5.22,84.39,43.91,90.93
2.26,8.64,86.14,51.59,66.9
8.91,4.3,84.63,52.62,85.09
5.71,8.67,56.72,65.8,74.18
14.55,5.76,64.97,54.77,84.57
12.63,4.51,67.94,45.55,78.18
12.57,6.43,90.22,49.21,91.71
7.03,5.28,63.94,48.1,73.29
6.22,5.42,60.54,93.52,89.99
4.1,5.54,97.87,81.76,82.89
0.85,8.02,50.44,93.23,85.92
12.97,6.7,99.89,64.19,103.85
12.19,5.56,83.84,55.31,96.33
15.0,7.05,91.42,83.91,114.58
14.95,7.58,64.73,57.94,97.53
8.33,5.36,50.72,56.47,74.91
11.53,6.07,86.89,52.79,94.66
14.17,4.61,91.71,47.13,97.32
12.74,4.91,87.02,54.11,95.26
3.71,7.41,57.14,59.54,63.5
6.76,4.91,87.67,77.07,84.77
1.94,6.63,88.45,43.44,62.72
14.31,7.55,82.93,51.58,100.17
9.09,4.53,88.31,84.5,95.79
3.43,6.84,92.3,48.08,73.84
10.08,5.28,80.68,58.85,92.43
9.27,8.81,54.43,87.56,89.27
5.37,6.42,74.38,48.52,63.52
1.7,8.03,53.88,44.55,51.62
10.07,6.75,70.38,66.65,89.25
7.8,4.22,70.36,56.63,71.36
11.58,7.17,53.3,70.99,95.8
7.8,8.76,67.44,84.21,94.47
12.78,7.01,55.55,47.54,80.99
8.28,8.1,90.41,71.94,86.33
8.41,8.42,97.38,67.8,87.66
13.15,5.14,53.62,47.92,80.49
6.05,5.06,97.76,74.32,77.02
2.01,7.05,76.13,55.05,68.91
0.43,6.06,64.98,66.83,60.47
11.33,8.2,53.84,44.52,92.79
9.3,8.5,75.03,65.28,100.14
10.56,5.77,89.73,56.86,87.77
3.19,5.18,85.35,85.23,81.88
2.05,7.9,52.51,43.13,56.9
0.22,5.37,53.65,63.02,63.11
5.26,8.11,70.14,65.21,68.34
8.85,6.12,64.76,79.88,79.91
5.88,7.34,61.62,71.59,74.68
6.56,4.48,64.05,76.7,82.25
13.56,7.12,90.17,82.74,113.35
5.22,6.26,96.46,87.42,98.56
7.71,6.93,70.26,57.26,71.3
11.75,4.84,95.31,69.59,86.99
5.95,7.68,66.07,86.21,91.31
9.33,8.31,73.82,94.42,98.51
12.94,5.08,61.3,88.92,91.2
14.24,4.48,82.02,60.43,96.52
2.21,4.12,98.95,50.73,69.48
13.9,7.21,80.17,66.92,100.3
7.38,7.04,67.89,80.79,85.37
3.87,6.73,82.39,67.09,75.22
6.89,5.16,56.15,66.57,71.69
14.7,5.95,94.43,86.1,108.53
7.39,6.97,75.15,59.88,75.75
4.93,6.48,72.47,87.29,88.09
9.5,8.94,79.29,62.37,91.06
3.6,4.68,81.24,58.05,68.85
1.14,7.48,53.59,64.97,55.41
1.93,6.02,84.13,81.93,77.35
1.92,6.14,62.1,46.93,43.38
2.28,7.59,85.7,50.8,66.81
2.08,7.46,91.13,92.33,94.8
9.61,8.96,90.2,49.65,79.29
2.73,4.64,77.63,71.23,68.37
5.19,4.52,76.01,71.86,78.78
13.45,7.62,57.14,66.93,99.64
7.11,6.89,88.77,75.46,88.16
10.01,5.37,63.57,52.64,73.4
2.58,4.4,74.83,70.4,59.53
2.88,4.43,64.21,60.47,62.53
0.61,8.47,56.69,76.39,77.1
2.53,4.96,81.48,47.77,61.99
4.18,5.62,52.72,71.4,68.6
2.66,5.13,87.43,50.19,65.74
1.33,5.77,65.88,55.33,57.62
1.81,4.35,50.01,52.03,46.7
6.91,6.6,75.56,50.06,77.01
3.1,4.34,52.34,85.41,72.49
5.46,8.0,63.81,55.71,70.34
7.55,5.17,85.35,90.99,91.3
10.36,6.7,53.13,93.35,103.07
0.59,8.4,91.97,71.42,78.18
11.99,7.25,50.19,47.87,74.9
9.42,6.66,62.34,60.6,85.55
1.23,5.62,87.05,83.88,75.39
13.1,5.67,65.81,60.21,85.49
13.81,7.35,55.09,44.79,78.47
0.92,8.97,68.01,70.62,59.92
4.15,7.31,63.52,86.48,83.8
12.09,6.79,92.14,83.78,98.75
11.22,7.65,65.67,49.63,75.6
2.77,6.33,89.45,77.0,69.48
3.14,4.3,94.59,52.13,67.02
5.56,6.81,71.69,52.0,68.83
7.27,8.79,95.5,88.07,99.77
9.27,4.88,68.87,53.73,71.34
5.53,7.45,98.2,54.48,73.6
6.94,5.0,54.46,40.04,62.03
11.21,6.68,84.35,87.89,102.54
0.55,4.48,74.69,83.59,72.53
3.79,6.25,69.38,74.5,70.61
10.7,7.78,81.64,81.26,102.11
13.43,5.74,85.19,48.36,96.72
7.68,7.32,50.22,65.21,78.59
7.98,7.98,58.35,59.32,74.63
1.61,8.64,85.65,45.16,63.95
6.71,5.17,83.32,66.74,80.14
7.99,6.0,98.3,90.64,102.02
3.64,4.76,88.05,42.2,60.7
4.04,8.96,97.54,56.03,77.31
5.66,8.64,85.13,51.41,76.82
0.3,6.7,64.9,53.1,49.84
4.83,8.21,55.27,89.96,78.41
3.17,6.6,89.09,65.74,68.5
4.91,7.12,82.21,65.65,70.31
1.8,4.45,52.41,81.83,60.39
13.36,7.78,68.0,48.5,88.18
8.9,4.64,97.84,66.8,86.11
10.19,8.13,75.02,63.65,92.13
11.84,7.91,71.64,72.83,97.17
7.48,7.54,72.88,94.98,87.26
1.3,4.18,60.44,82.32,70.83
8.06,5.52,68.44,61.88,82.3
8.8,5.32,68.49,85.52,86.72
11.18,5.8,52.62,49.39,77.49
6.47,4.44,88.38,41.68,64.57
1.91,8.68,70.83,51.24,62.55
4.26,6.77,91.11,58.72,69.14
5.45,5.53,92.52,68.08,73.09
9.69,5.98,60.6,73.83,84.58
8.56,6.24,82.87,90.08,98.17
5.34,7.0,73.61,68.04,75.86
14.8,6.58,94.01,67.57,100.96
9.09,8.6,60.79,42.76,70.66
3.56,6.48,83.89,41.92,64.15
1.53,8.96,80.39,70.31,73.62
2.29,8.26,64.77,64.1,68.03
3.69,5.04,56.83,86.15,72.05
2.41,8.65,82.58,48.84,71.46
2.8,4.58,86.93,41.37,53.38
4.28,8.09,65.78,64.7,74.93
2.6,5.9,82.24,53.06,70.69
13.45,8.39,69.76,42.73,88.39
1.2,8.34,85.66,79.85,77.62
7.87,8.03,59.96,46.14,67.73
6.16,7.95,94.51,73.46,95.2
14.74,5.52,64.37,55.46,83.4
1.68,4.4,68.39,49.54,49.92
5.97,6.01,52.9,60.89,66.46
14.54,4.87,55.58,84.08,107.1
12.98,7.47,75.79,61.57,96.83
12.26,5.73,63.38,81.29,92.34
3.87,8.88,91.77,46.9,69.76
2.56,7.2,50.73,82.5,68.44
10.03,8.11,68.95,53.03,78.46
13.94,4.66,66.87,77.26,104.03
8.35,8.31,50.97,71.12,74.84
8.57,8.61,56.22,91.1,102.22
4.2,6.44,70.68,61.3,74.22
11.54,7.03,74.64,43.64,86.95
2.81,7.82,70.21,41.05,55.68
4.86,4.87,76.55,85.48,82.95
6.38,6.51,79.76,68.86,74.95
7.61,5.99,50.5,82.64,80.06
3.64,4.73,73.2,52.89,65.65
1.72,5.84,98.17,58.98,76.73
